Município de ocorrência;Total
110040 Alto Paraíso;1
110002 Ariquemes;4
110045 Buritis;1
110080 Candeias do Jamari;24
110094 Cujubim;2
110010 Guajará-Mirim;5
110110 Itapuã do Oeste;5
110011 Jaru;1
110012 Ji-Paraná;1
110013 Machadinho D'Oeste;1
110140 Monte Negro;1
110033 Nova Mamoré;7
110050 Novo Horizonte do Oeste;1
110015 Ouro Preto do Oeste;3
110018 Pimenta Bueno;1
110020 Porto Velho;900
110025 Presidente Médici;1
110028 Rolim de Moura;3
110160 Theobroma;1
120001 Acrelândia;18
120005 Assis Brasil;3
120010 Brasiléia;12
120013 Bujari;16
120017 Capixaba;13
120025 Epitaciolândia;1
120030 Feijó;9
120032 Jordão;2
120034 Manoel Urbano;7
120038 Plácido de Castro;29
120080 Porto Acre;43
120040 Rio Branco;1160
120043 Santa Rosa do Purus;3
120050 Sena Madureira;27
120045 Senador Guiomard;28
120060 Tarauacá;1
120070 Xapuri;8
130040 Barcelos;1
130050 Barreirinha;1
130070 Boca do Acre;11
130110 Careiro;1
130170 Humaitá;7
130195 Itamarati;1
130240 Lábrea;1
130260 Manaus;1
130350 Pauini;5
130353 Presidente Figueiredo;1
140005 Alto Alegre;31
140002 Amajari;19
140010 Boa Vista;1567
140015 Bonfim;22
140017 Cantá;55
140020 Caracaraí;7
140023 Caroebe;4
140028 Iracema;3
140030 Mucajaí;16
140040 Normandia;7
140045 Pacaraima;4
140047 Rorainópolis;6
140050 São João da Baliza;4
140060 São Luiz;2
140070 Uiramutã;9
150010 Abaetetuba;26
150020 Acará;56
150030 Afuá;28
150034 Água Azul do Norte;2
150050 Almeirim;3
150070 Anajás;4
150080 Ananindeua;1078
150090 Augusto Corrêa;4
150095 Aurora do Pará;7
150110 Bagre;1
150120 Baião;2
150130 Barcarena;66
150140 Belém;3645
150150 Benevides;30
150160 Bonito;4
150170 Bragança;12
150180 Breves;16
150190 Bujaru;14
150200 Cachoeira do Arari;3
150195 Cachoeira do Piriá;4
150210 Cametá;4
150220 Capanema;16
150230 Capitão Poço;8
150240 Castanhal;42
150250 Chaves;14
150260 Colares;3
150275 Concórdia do Pará;8
150280 Curralinho;2
150285 Curuá;2
150290 Curuçá;17
150295 Eldorado dos Carajás;1
150307 Garrafão do Norte;8
150320 Igarapé-Açu;11
150330 Igarapé-Miri;11
150340 Inhangapi;2
150345 Ipixuna do Pará;8
150350 Irituia;10
150360 Itaituba;1
150405 Mãe do Rio;13
150410 Magalhães Barata;1
150420 Marabá;2
150430 Maracanã;4
150440 Marapanim;9
150442 Marituba;67
150450 Melgaço;4
150460 Mocajuba;3
150470 Moju;26
150480 Monte Alegre;1
150490 Muaná;4
150495 Nova Esperança do Piriá;3
150500 Nova Timboteua;2
150520 Oeiras do Pará;5
150540 Ourém;6
150550 Paragominas;2
150553 Parauapebas;2
150555 Pau D'Arco;1
150560 Peixe-Boi;1
150570 Ponta de Pedras;5
150580 Portel;3
150590 Porto de Moz;1
150610 Primavera;1
150611 Quatipuru;2
150620 Salinópolis;10
150630 Salvaterra;8
150635 Santa Bárbara do Pará;9
150640 Santa Cruz do Arari;1
150650 Santa Isabel do Pará;18
150655 Santa Luzia do Pará;3
150660 Santa Maria do Pará;5
150680 Santarém;1
150700 Santo Antônio do Tauá;21
150710 São Caetano de Odivelas;4
150720 São Domingos do Capim;8
150740 São Francisco do Pará;2
150747 São João de Pirabas;3
150760 São Miguel do Guamá;16
150770 São Sebastião da Boa Vista;3
150790 Soure;9
150795 Tailândia;18
150796 Terra Alta;5
150800 Tomé-Açu;9
150803 Tracuateua;4
150810 Tucuruí;2
150812 Ulianópolis;8
150820 Vigia;25
150830 Viseu;3
150840 Xinguara;1
160010 Amapá;11
160020 Calçoene;3
160021 Cutias;10
160023 Ferreira Gomes;15
160025 Itaubal;7
160027 Laranjal do Jari;14
160030 Macapá;2629
160040 Mazagão;35
160050 Oiapoque;13
160015 Pedra Branca do Amapari;21
160053 Porto Grande;40
160055 Pracuúba;3
160060 Santana;52
160005 Serra do Navio;5
160070 Tartarugalzinho;12
170040 Almas;1
170070 Alvorada;1
170110 Aparecida do Rio Negro;7
170210 Araguaína;1
170310 Barrolândia;1
170330 Bom Jesus do Tocantins;1
